AveStart,AveFinish
7.5,8.4
9.1,9.4
10,10.9
10,10.4
8.8,11.7
11.1,12.3
13.6,12.9
16,13.3
9.6,14.6
10.6,14
10.7,12
12.7,13.1
19,16.9
13.2,16.3
10.8,13.8
18.8,18.2
15.4,17.5
17.1,17.3
15.2,19.3
17.5,19.2
17.9,19.3
22,21.6
21.4,21
17.6,22.6
23.8,23
22.8,24.5
