"id","bw0"
"43169","23.8"
"43170","26.6"
"43171","28.8"
"43172","22.8"
"43173","27.6"
"43174","24.1"
"43175","23.9"
"43176","28.3"
"43177","32.8"
"43178","26.5"
"43179","25.5"
"43180","27.1"
"43181","29.3"
"43182","31.1"
"43183","25.6"
"43184","27.9"
"43185","25.5"
"43186","25.2"
"43187","31.2"
"43188","25.7"
"43190","26.5"
"43191","27.3"
"43325","21.7"
"43326","21.3"
"43327","22.8"
"43328","22.1"
"43329","24.3"
"43330","22.4"
"43331","22"
"43332","25.1"
"43333","20.3"
"43334","24.2"
"43335","22.8"
"43336","23.4"
"43337","26.2"
"43338","22.1"
"43339","22"
"43340","22.5"
"43341","24.3"
"43342","20.3"
"43343","26.8"
"43344","25.3"
"43345","23.4"
"43346","21"
"43347","27.1"
"43348","22.6"
"43349","22.3"
"43350","21.8"
"43351","21.8"
"43352","22.7"
"43353","22.5"
"43354","25.3"
"43355","19.7"
"43356","24.3"
"43357","20.4"
"43358","25"
"43359","26.9"
"43360","24.6"
"43361","20.5"
"43362","25.9"
"43363","22.6"
"43364","23.7"
"43365","24.3"
"43366","22.4"
"43367","21"
"43368","22.6"
"43369","22.5"
"43370","21.6"
"43371","23.6"
"43372","23"
"43416","24.7"
"43417","23.5"
"43418","16.3"
"43419","32.2"
"43420","25.4"
"43421","19.2"
"43422","23.2"
"43423","24.5"
"43424","26"
"43425","24.2"
"43426","17"
"43427","21.5"
"43428","25.6"
"43429","23.1"
"43430","23.3"
"43431","22.6"
"43432","25.5"
"43433","24.4"
"43434","20"
"43435","21.1"
"43436","22"
"43437","28.8"
"43438","22.6"
"43439","23.3"
"43440","25.8"
"43441","28.4"
"43442","24.1"
"43443","24"
"43444","24.4"
"43445","24"
"43446","18"
"43447","23.9"
"43448","19.3"
"43449","23.3"
"43450","20.5"
"43451","18.7"
"43452","21.5"
"43453","21.2"
"43454","23"
"43455","21.1"
"43456","25.3"
"43457","20.9"
"43458","21.2"
"43459","22"
"43460","23.6"
"43461","19.8"
"43462","20.3"
"43523","19.7"
"43725","25.8"
"43726","32.1"
"43727","27"
"43728","25.5"
"43729","29.8"
"43730","28.4"
"43731","27.4"
"43732","28.8"
"43733","28"
"43734","29.3"
"43735","28.1"
"43736","29.8"
"43737","28.9"
"43738","29.3"
"43739","31.3"
"43740","27.9"
"43741","26.9"
"43742","25.5"
"43743","32.5"
"43744","31.3"
"43745","26.2"
"43746","27.2"
"43747","31"
"43748","27.4"
"43749","30.3"
"43750","30.8"
"43751","29.7"
"43753","29"
"43754","28.9"
"43755","26.6"
"43756","32.1"
"43757","26.9"
"43758","31.1"
"43759","34.1"
"43760","28.8"
"43761","28.9"
"43762","28.5"
"43763","29.8"
"43764","33.9"
"43765","28"
"43766","27.8"
"43767","31.3"
"43768","27.8"
"43769","29.1"
"43770","27.6"
"43771","31.2"
"43772","25.6"
"43773","30.5"
"43901","24.8"
"43902","23.7"
"43903","25.5"
"43904","23.8"
"43905","25.3"
"43906","24.2"
"43907","23.8"
"43908","23.4"
"43909","24.3"
"43910","24.7"
"43911","23.9"
"43912","24.4"
"43913","23.6"
"43914","25.2"
"43915","25.1"
"43916","24.9"
"43917","25"
"43918","24.5"
"43919","22.6"
"43920","24.2"
"43921","25.2"
"43922","23.5"
"43923","24"
"43924","22.8"
"43925","22.2"
"43926","23.4"
"43927","24.1"
"43928","23.3"
"43929","23.8"
"43930","23.5"
"43931","24.7"
"43932","25"
"43933","22.6"
"43934","24.2"
"43935","25"
"43936","23.9"
"43937","24.5"
"43938","24.9"
"43939","24.4"
"43940","23.1"
"43941","22.9"
"43942","24"
"43943","23.8"
"43944","25.1"
"43945","24"
"43946","25.3"
"43947","24.1"
"43948","24.2"
"44230","27.2"
"44231","23"
"44232","25.1"
"44233","26"
"44234","29.1"
"44235","30.1"
"44236","20.4"
"44237","26.5"
"44238","26"
"44239","29"
"44240","24.5"
"44241","28"
"44242","25"
"44243","28.6"
"44244","25.2"
"44245","25.3"
"44246","28.1"
"44247","31.1"
"44248","27.4"
"44249","22.3"
"44250","26.9"
"44251","26.7"
"44252","22.3"
"44253","29.3"
"44254","23.9"
"44255","27.4"
"44256","27.9"
"44257","26"
"44258","23.7"
"44259","27.3"
"44260","24.4"
"44261","21.1"
"44262","25.2"
"44263","26.9"
"44264","24.3"
"44265","22.6"
"44266","28"
"44267","25.3"
"44268","24.6"
"44269","28"
